Date,Time,Temperature
2022-01-01,12:53 am,-7
2022-01-01,1:53 am,-1
2022-01-01,3:01 am,-9
2022-01-01,3:11 am,-9
2022-01-01,3:53 am,0
2022-01-01,4:06 am,-1
2022-01-01,4:53 am,-4
2022-01-01,6:03 am,-2
2022-01-01,6:53 am,3
2022-01-01,7:53 am,4
2022-01-01,8:42 am,4
2022-01-01,8:53 am,4
2022-01-01,9:26 am,3
2022-01-01,9:53 am,4
2022-01-01,10:11 am,5
2022-01-01,10:53 am,5
2022-01-01,11:53 am,6
2022-01-01,12:53 pm,6
2022-01-01,1:53 pm,7
2022-01-01,2:08 pm,7
2022-01-01,2:53 pm,7
2022-01-01,3:53 pm,6
2022-01-01,4:53 pm,5
2022-01-01,5:53 pm,6
2022-01-01,6:53 pm,5
2022-01-01,7:53 pm,6
2022-01-01,8:53 pm,3
2022-01-01,9:53 pm,0
2022-01-01,10:53 pm,-3
2022-01-01,11:53 pm,-2
2022-01-02,12:53 am,-5
2022-01-02,1:53 am,-7
2022-01-02,2:53 am,-9
2022-01-02,3:53 am,
2022-01-02,4:53 am,-8
2022-01-02,5:53 am,-5
2022-01-02,6:53 am,-2
2022-01-02,7:53 am,-2
2022-01-02,8:53 am,1
2022-01-02,9:53 am,2
2022-01-02,10:53 am,5
2022-01-02,11:53 am,7
2022-01-02,12:53 pm,10
2022-01-02,1:53 pm,11
2022-01-02,2:53 pm,12
2022-01-02,3:53 pm,13
2022-01-02,4:53 pm,11
2022-01-02,5:53 pm,10
2022-01-02,6:53 pm,8
2022-01-02,7:53 pm,8
2022-01-02,8:53 pm,7
2022-01-02,9:53 pm,7
2022-01-02,10:53 pm,2
2022-01-02,11:53 pm,-1
2022-01-03,12:53 am,1
2022-01-03,2:53 am,2
2022-01-03,3:53 am,2
2022-01-03,4:53 am,-2
2022-01-03,5:53 am,1
2022-01-03,6:53 am,0
2022-01-03,7:53 am,-1
2022-01-03,8:53 am,-1
2022-01-03,9:53 am,4
2022-01-03,10:53 am,8
2022-01-03,11:53 am,9
2022-01-03,12:53 pm,10
2022-01-03,1:53 pm,12
2022-01-03,2:53 pm,12
2022-01-03,3:53 pm,14
2022-01-03,4:53 pm,14
2022-01-03,5:53 pm,13
2022-01-03,6:53 pm,13
2022-01-03,7:53 pm,7
2022-01-03,8:53 pm,9
2022-01-03,9:53 pm,15
2022-01-03,11:53 pm,17
2022-01-04,12:53 am,25
2022-01-04,2:05 am,29
2022-01-04,2:29 am,30
2022-01-04,3:03 am,30
2022-01-04,3:20 am,29
2022-01-04,3:32 am,29
2022-01-04,3:53 am,30
2022-01-04,4:06 am,30
2022-01-04,8:53 am,29
2022-01-04,9:53 am,29
2022-01-04,10:53 am,30
2022-01-04,11:53 am,28
2022-01-04,12:53 pm,29
2022-01-04,1:53 pm,29
2022-01-04,2:53 pm,28
2022-01-04,3:53 pm,27
2022-01-04,4:29 pm,27
2022-01-04,4:53 pm,27
2022-01-04,5:53 pm,27
2022-01-04,6:53 pm,27
2022-01-04,7:53 pm,28
2022-01-04,8:53 pm,28
2022-01-04,9:07 pm,28
2022-01-04,9:53 pm,28
2022-01-04,10:53 pm,29
2022-01-05,12:01 am,29
2022-01-05,2:18 am,30
2022-01-05,3:01 am,31
2022-01-05,3:32 am,31
2022-01-05,3:53 am,31
2022-01-05,4:16 am,31
2022-01-05,4:36 am,31
2022-01-05,4:53 am,31
2022-01-05,5:19 am,31
2022-01-05,5:35 am,31
2022-01-05,6:15 am,33
2022-01-05,6:54 am,33
2022-01-05,8:00 am,30
2022-01-05,8:53 am,29
2022-01-05,10:07 am,26
2022-01-05,10:22 am,27
2022-01-05,10:53 am,27
2022-01-05,11:53 am,30
